Geneid	HSC_20d_IL1_3	HSC_20d_IL1_4	HSC_20d_ctrl_3	HSC_20d_ctrl_4	HSC_20d_ctrl_1_E061316	HSC_20d_ctrl_2_E061316	HSC_20d_IL1_1_E061316	HSC_20d_IL1_2_E061316
0610005C13Rik	21	10	54	21	13	7	6	7
0610006L08Rik	0	0	0	0	0	0	0	0
0610007P14Rik	1380	1335	2230	1780	1427	1410	2140	2066
0610009B22Rik	724	817	948	943	654	863	1087	1152
0610009E02Rik	11	13	13	13	14	9	16	20
0610009L18Rik	161	167	206	174	163	134	177	183
0610009O20Rik	519	521	674	539	455	587	641	516
0610010B08Rik	0	0	0	0	0	0	0	0
0610010F05Rik	800	700	1358	503	966	1265	1169	1331
0610010K14Rik	0	0	1	0	0	1	0	0
0610011F06Rik	926	943	1348	1515	945	1146	1098	1263
0610012G03Rik	991	919	1331	1360	971	941	1171	1291
0610025J13Rik	5	0	0	1	0	1	0	0
0610030E20Rik	0	0	0	0	0	0	0	0
0610031O16Rik	0	0	0	0	0	1	0	0
0610037L13Rik	1279	1358	2010	1801	1371	1391	1335	1734
0610038B21Rik	7	7	5	4	15	1	11	9
0610039H22Rik	65	44	31	60	35	33	35	32
0610039K10Rik	110	135	125	63	67	112	114	134
0610040B10Rik	26	26	17	29	40	37	20	29
0610040F04Rik	0	1	0	0	4	0	2	0
0610040J01Rik	26	3	41	62	26	44	1	21
0610043K17Rik	31	12	25	10	23	29	13	26
1010001N08Rik	0	0	0	3	0	0	0	0
1100001I12Rik	0	0	0	0	0	0	0	0
1110001J03Rik	759	797	1128	1310	879	987	970	1405
1110002J07Rik	0	0	0	6	0	0	0	0
1110002L01Rik	131	161	176	158	146	127	145	172
1110002O04Rik	1	0	0	0	0	0	0	0
1110004E09Rik	840	725	1409	1049	914	1016	969	1068
1110004F10Rik	3560	3747	5340	4547	4070	4346	5287	5925
1110006O24Rik	62	92	87	94	43	51	94	86
1110008F13Rik	2133	2565	3667	3414	2583	2625	3178	3077
1110008L16Rik	907	1001	1163	794	1009	1061	1282	1584
1110008P14Rik	74	99	134	111	98	86	142	151
1110012L19Rik	631	583	736	549	593	733	865	817
1110015O18Rik	0	0	0	0	0	0	0	0
1110017D15Rik	0	1	0	0	1	0	0	0
1110018N20Rik	3	2	0	4	1	1	0	3
1110019D14Rik	164	171	221	161	134	209	309	252
1110020A21Rik	22	26	30	34	11	24	28	58
1110025L11Rik	0	0	0	0	0	0	0	0
1110028F11Rik	0	0	0	0	0	0	0	0
1110028F18Rik	0	0	0	0	0	0	0	0
1110032A03Rik	856	921	874	641	561	668	768	907
1110032F04Rik	9	3	2	10	4	9	35	36
1110034G24Rik	121	154	201	137	88	138	231	112
1110036E04Rik	0	0	0	1	0	4	1	0
1110037F02Rik	2165	2383	2595	2004	2373	2665	2764	2880
1110038B12Rik	0	0	0	0	0	0	0	0
1110038F14Rik	1287	1283	1696	1337	952	1135	1246	1192
1110046J04Rik	9	7	7	3	2	7	10	9
1110051M20Rik	959	1003	1354	1046	849	990	1200	1046
1110057P08Rik	0	0	0	0	0	0	0	0
1110058D11Rik	0	0	0	0	0	0	0	0
1110059E24Rik	601	803	984	726	628	816	1151	1046
1110059G10Rik	606	706	1054	698	599	783	867	717
1110065P20Rik	149	128	241	252	172	204	171	195
1190002N15Rik	964	1347	1331	654	1049	1126	1874	1748
1190003K10Rik	0	0	0	0	0	0	0	0
1190005I06Rik	11	16	20	6	19	15	7	17
1190007I07Rik	470	374	768	797	507	511	507	593
1190028D05Rik	0	0	0	0	0	0	0	0
1300002E11Rik	382	493	517	450	415	418	500	392
1300017J02Rik	0	0	0	0	0	0	6	0
1500002F19Rik	2	4	9	13	5	3	12	16
1500004A13Rik	72	93	98	63	71	78	99	100
1500009C09Rik	0	0	0	0	0	0	0	0
1500009L16Rik	335	314	456	475	369	337	379	452
1500011B03Rik	962	1094	1398	1080	771	887	1278	1308
1500011K16Rik	452	421	616	717	507	557	548	721
